janes.news.rtvslo.335696.752.1.t2	janes.news.rtvslo.335696.752.1.2	#30
tid.398532905812508672.2.t7	tid.398532905812508672.2.7	#34277
tid.419059037565489153.2.t6	tid.419059037565489153.2.6	#34319
janes.blog.rtvslo.2780.41.2.t8	janes.blog.rtvslo.2780.41.2.8	#34355
janes.forum.medovernet.9941895.3.t1	janes.forum.medovernet.9941895.3.1.r1	#34399
tid.499657671054606336.1.t7	tid.499657671054606336.1.7	#34409
janes.forum.kvarkadabra.7.243.3148.3.t8	janes.forum.kvarkadabra.7.243.3148.3.8	#34582
tid.383989050279202816.2.t1	tid.383989050279202816.2.1	#34635
tid.368459290904129536.4.t8	tid.368459290904129536.4.8	#34706
janes.forum.medovernet.9210022.1.t13	janes.forum.medovernet.9210022.1.13	#34755
janes.forum.avtomobilizem.7.15985.239223.1.t9	janes.forum.avtomobilizem.7.15985.239223.1.9	#34824
tid.443080460412129282.3.t3	tid.443080460412129282.3.3	#34916
janes.forum.medovernet.6812055.2.t7	janes.forum.medovernet.6812055.2.7	#34999
janes.forum.avtomobilizem.6.102412.1668436.1.t16	janes.forum.avtomobilizem.6.102412.1668436.1.16	#35035
janes.forum.avtomobilizem.6.102412.1668436.2.t13	janes.forum.avtomobilizem.6.102412.1668436.2.13	#35051
janes.forum.medovernet.1729877.3.t11	janes.forum.medovernet.1729877.3.11	#35144
tid.416198395292700673.2.t16	tid.416198395292700673.2.16	#35216
janes.news.rtvslo.331319.3.1.t5	janes.news.rtvslo.331319.3.1.5	#35297
janes.news.rtvslo.344928.89.1.t15	janes.news.rtvslo.344928.89.1.15	#35380
janes.blog.rtvslo.2362.8.3.t5	janes.blog.rtvslo.2362.8.3.5	#35511
janes.blog.rtvslo.2362.8.5.t5	janes.blog.rtvslo.2362.8.5.5	#35531
janes.news.mladina.116475.4.1.t38	janes.news.mladina.116475.4.1.38	#35630
tid.570249273528483840.2.t4	tid.570249273528483840.2.4.r1	#35691
tid.502036390100860928.2.t13	tid.502036390100860928.2.13	#35726
tid.235768080213614593.2.t2	tid.235768080213614593.2.2	#35751
janes.forum.medovernet.9409592.1.t6	janes.forum.medovernet.9409592.1.6	#35799
janes.forum.medovernet.9409592.2.t2	janes.forum.medovernet.9409592.2.2	#35804
tid.375584141716520961.3.t1	tid.375584141716520961.3.1	#36033
janes.forum.medovernet.9442118.5.t2	janes.forum.medovernet.9442118.5.2	#36093
tid.414002020559757312.1.t12	tid.414002020559757312.1.12	#36295
tid.427386809476460544.3.t5	tid.427386809476460544.3.5.r1	#36396
tid.350709507682340864.1.t10	tid.350709507682340864.1.10	#36507
janes.forum.avtomobilizem.4.5657.67531.1.t6	janes.forum.avtomobilizem.4.5657.67531.1.6	#36530
tid.484696678835187712.1.t7	tid.484696678835187712.1.7.r1	#36576
tid.486400609906860032.1.t5	tid.486400609906860032.1.5	#36859
tid.540003301279145985.2.t7	tid.540003301279145985.2.7	#37028
janes.forum.medovernet.8870886.1.t10	janes.forum.medovernet.8870886.1.10	#37072
tid.376059375519301633.3.t7	tid.376059375519301633.3.7	#37110
tid.385424928625164288.3.t3	tid.385424928625164288.3.3	#37232
tid.515393547550597120.2.t6	tid.515393547550597120.2.6	#37508
janes.blog.rtvslo.16543.4.1.t4	janes.blog.rtvslo.16543.4.1.4	#37517
janes.news.rtvslo.338363.142.2.t3	janes.news.rtvslo.338363.142.2.3	#37530
tid.561973214000463872.1.t22	tid.561973214000463872.1.22	#37556
janes.news.rtvslo.339512.99.1.t10	janes.news.rtvslo.339512.99.1.10	#37587
tid.488772567621435393.2.t2	tid.488772567621435393.2.2.r1	#37670
tid.414224241417289728.1.t10	tid.414224241417289728.1.10	#37725
tid.467310905576157184.2.t22	tid.467310905576157184.2.21	#37891
tid.430903831589699584.1.t6	tid.430903831589699584.1.6	#37963
tid.430903831589699584.1.t23	tid.430903831589699584.1.23.r1	#37980
tid.523199645963390977.1.t13	tid.523199645963390977.1.13	#38090
tid.338456154579558400.1.t3	tid.338456154579558400.1.3	#38162
tid.338456154579558400.2.t7	tid.338456154579558400.2.7	#38174
janes.forum.kvarkadabra.22.5327.80792.1.t2	janes.forum.kvarkadabra.22.5327.80792.1.2	#38187
tid.393431849516924928.1.t19	tid.393431849516924928.1.19	#38214
tid.476989819160391680.2.t2	tid.476989819160391680.2.2	#38266
tid.494760901447548928.2.t15	tid.494760901447548928.2.15	#38300
tid.431532277966045184.3.t12	tid.431532277966045184.3.12	#38354
tid.398581893249392640.3.t5	tid.398581893249392640.3.5	#38582
janes.forum.medovernet.5072416.1.t9	janes.forum.medovernet.5072416.1.9	#38731
tid.241995341229092864.2.t5	tid.241995341229092864.2.5	#38748
janes.blog.rtvslo.22246.6.3.t6	janes.blog.rtvslo.22246.6.3.6	#38824
tid.346326166036172801.1.t12	tid.346326166036172801.1.12	#39391
tid.466640592907558912.1.t11	tid.466640592907558912.1.11	#39541
tid.440598156624273408.3.t2	tid.440598156624273408.3.2	#39733
janes.blog.rtvslo.21818.13.1.t5	janes.blog.rtvslo.21818.13.1.5	#40043
janes.blog.rtvslo.21818.13.2.t2	janes.blog.rtvslo.21818.13.2.2	#40050
tid.365912003581198336.2.t2	tid.365912003581198336.2.2	#40332
tid.366943761810468866.1.t4	tid.366943761810468866.1.4	#40376
tid.366943761810468866.1.t11	tid.366943761810468866.1.10	#40382
tid.522707756546293761.1.t7	tid.522707756546293761.1.7.r1	#40409
tid.502930391125479424.1.t3	tid.502930391125479424.1.3	#40463
tid.502930391125479424.1.t7	tid.502930391125479424.1.7	#40467
tid.294195915529527297.1.t4	tid.294195915529527297.1.4	#40652
tid.294195915529527297.3.t2	tid.294195915529527297.3.2	#40669
tid.475205571667574784.2.t7	tid.475205571667574784.2.7	#40712
janes.news.rtvslo.332330.19.1.t6	janes.news.rtvslo.332330.19.1.6	#40817
tid.466977726273159168.2.t2	tid.466977726273159168.2.2	#41021
tid.466977726273159168.2.t12	tid.466977726273159168.2.12	#41031
tid.466977726273159168.2.t15	tid.466977726273159168.2.15	#41034
tid.530631146980528128.2.t11	tid.530631146980528128.2.11	#41127
tid.504341070088769536.1.t2	tid.504341070088769536.1.2	#41150
tid.504341070088769536.2.t2	tid.504341070088769536.2.2	#41159
tid.311185204184223744.1.t4	tid.311185204184223744.1.4	#41185
janes.forum.medovernet.7052354.2.t19	janes.forum.medovernet.7052354.2.19	#41232
tid.544946678282059777.2.t12	tid.544946678282059777.2.12	#41261
tid.299525853031829504.1.t3	tid.299525853031829504.1.3	#41270
tid.299525853031829504.4.t1	tid.299525853031829504.4.1	#41283
tid.299525853031829504.5.t2	tid.299525853031829504.5.2	#41287
tid.432840731825545216.3.t5	tid.432840731825545216.3.5	#41350
tid.488738615884005376.1.t3	tid.488738615884005376.1.3	#41441
tid.508744813261639680.3.t3	tid.508744813261639680.3.3	#41664
tid.540289712880361473.1.t1	tid.540289712880361473.1.1	#41823
tid.419550465936728064.1.t9	tid.419550465936728064.1.9	#41984
janes.news.rtvslo.338351.332.1.t13	janes.news.rtvslo.338351.332.1.13	#42059
tid.524298244768026624.2.t6	tid.524298244768026624.2.6	#42305
tid.461028001702875136.5.t2	tid.461028001702875136.5.2	#42393
janes.blog.rtvslo.13323.9.1.t6	janes.blog.rtvslo.13323.9.1.6	#42468
janes.blog.rtvslo.13323.9.1.t10	janes.blog.rtvslo.13323.9.1.10	#42472
janes.forum.kvarkadabra.7.3984.43079.1.t10	janes.forum.kvarkadabra.7.3984.43079.1.10	#42626
tid.558691336300531713.2.t4	tid.558691336300531713.2.4	#42704
tid.405120420656865280.1.t10	tid.405120420656865280.1.10	#42808
tid.405120420656865280.1.t28	tid.405120420656865280.1.28	#42826
tid.332203962444943360.4.t5	tid.332203962444943360.4.5	#42860
tid.364112648071151616.3.t4	tid.364112648071151616.3.4	#42943
tid.298532862376935424.4.t1	tid.298532862376935424.4.1	#42972
janes.news.rtvslo.337153.676.1.t2	janes.news.rtvslo.337153.676.1.2	#43009
janes.news.rtvslo.337153.676.1.t11	janes.news.rtvslo.337153.676.1.11	#43018
tid.425739520642801664.1.t5	tid.425739520642801664.1.5	#43166
tid.492017718556909569.2.t2	tid.492017718556909569.2.2	#43234
tid.395492985372028928.1.t2	tid.395492985372028928.1.2	#43249
janes.forum.medovernet.3586672.3.t1	janes.forum.medovernet.3586672.3.1	#43284
tid.431396166845358080.1.t4	tid.431396166845358080.1.4	#43296
tid.309762548654288896.3.t7	tid.309762548654288896.3.7	#43410
tid.484032738966904832.2.t2	tid.484032738966904832.2.2	#43454
tid.378540220452311040.1.t2	tid.378540220452311040.1.2	#43504
tid.410162259441094656.4.t3	tid.410162259441094656.4.3	#43565
tid.445820365395460096.1.t18	tid.445820365395460096.1.18	#43608
tid.367525541383254016.1.t5	tid.367525541383254016.1.5	#43620
janes.news.rtvslo.265923.472.1.t4	janes.news.rtvslo.265923.472.1.4	#43809
janes.forum.kvarkadabra.7.227.16775.1.t1	janes.forum.kvarkadabra.7.227.16775.1.1	#43922
tid.374622867067244544.2.t3	tid.374622867067244544.2.3	#43973
tid.461530446225235968.4.t3	tid.461530446225235968.4.3	#44011
janes.forum.medovernet.7145202.2.t1	janes.forum.medovernet.7145202.2.1	#44075
janes.forum.medovernet.7145202.2.t12	janes.forum.medovernet.7145202.2.12	#44086
janes.news.rtvslo.338363.2.2.t8	janes.news.rtvslo.338363.2.2.8	#44199
tid.506363094126575617.2.t11	tid.506363094126575617.2.11	#44249
tid.347386072390586370.1.t9	tid.347386072390586370.1.9.r1	#44272
tid.347386072390586370.1.t15	tid.347386072390586370.1.15	#44278
janes.forum.avtomobilizem.2.43038.1557270.3.t2	janes.forum.avtomobilizem.2.43038.1557270.3.2	#44378
janes.forum.avtomobilizem.2.43038.1557270.3.t4	janes.forum.avtomobilizem.2.43038.1557270.3.4	#44380
tid.472056739119259648.1.t29	tid.472056739119259648.1.29.r1	#44436
tid.452715421725384704.2.t5	tid.452715421725384704.2.5	#44451
tid.452715421725384704.2.t18	tid.452715421725384704.2.18	#44464
tid.367317795039899648.3.t4	tid.367317795039899648.3.4.r1	#44587
tid.367317795039899648.3.t10	tid.367317795039899648.3.10	#44593
tid.339398817310973952.1.t4	tid.339398817310973952.1.4	#44917
tid.542638923307307008.3.t4	tid.542638923307307008.3.4	#45174
tid.453216090156724224.2.t5	tid.453216090156724224.2.5	#45189
tid.432170194203856896.2.t4	tid.432170194203856896.2.4	#45280
tid.479036219092123648.1.t4	tid.479036219092123648.1.4	#45596
tid.355049408410288128.1.t7	tid.355049408410288128.1.7	#45630
tid.439844342622982144.1.t9	tid.439844342622982144.1.9	#46010
tid.371870417608114176.1.t4	tid.371870417608114176.1.4	#46130
tid.156685588903366657.3.t8	tid.156685588903366657.3.8	#46419
tid.395638297453539329.1.t2	tid.395638297453539329.1.2	#46562
janes.news.rtvslo.329965.375.2.t8	janes.news.rtvslo.329965.375.2.8	#46601
tid.527922150813220864.2.t13	tid.527922150813220864.2.13	#46777
tid.461063552812711936.1.t8	tid.461063552812711936.1.8	#47046
tid.461063552812711936.2.t8	tid.461063552812711936.2.8	#47057
tid.45172494973403136.1.t3	tid.45172494973403136.1.3.r1	#47177
tid.426630066802806784.1.t21	tid.426630066802806784.1.21	#47227
tid.418357193164214272.2.t4	tid.418357193164214272.2.4	#47255
tid.411609826821951488.2.t8	tid.411609826821951488.2.8	#47485
tid.431702792630439936.1.t3	tid.431702792630439936.1.3	#47694
tid.519967473421287424.3.t3	tid.519967473421287424.3.3	#47795
janes.forum.medovernet.9324880.1.t1	janes.forum.medovernet.9324880.1.1	#47807
tid.461927117304123392.2.t7	tid.461927117304123392.2.7	#47892
tid.461927117304123392.3.t2	tid.461927117304123392.3.2	#47896
tid.334419284057014273.3.t6	tid.334419284057014273.3.6	#47923
tid.334419284057014273.3.t17	tid.334419284057014273.3.17	#47934
tid.514007323208343552.2.t1	tid.514007323208343552.2.1	#48036
tid.370612962928889856.1.t9	tid.370612962928889856.1.9	#48191
janes.news.rtvslo.345994.97.1.t28	janes.news.rtvslo.345994.97.1.28	#48599
tid.476074507200106496.1.t6	tid.476074507200106496.1.6	#48622
janes.forum.medovernet.7325808.2.t4	janes.forum.medovernet.7325808.2.4	#48655
tid.363597416550772737.1.t15	tid.363597416550772737.1.15	#48941
tid.405807171184500736.1.t12	tid.405807171184500736.1.12	#48966
tid.385468582429085696.3.t8	tid.385468582429085696.3.8	#49168
janes.forum.medovernet.7117035.1.t10	janes.forum.medovernet.7117035.1.10	#49195
tid.426091116299943936.3.t1	tid.426091116299943936.3.1	#49360
tid.467346748374257664.3.t2	tid.467346748374257664.3.2	#49671
tid.356491140234625025.1.t5	tid.356491140234625025.1.5	#49917
tid.378638380398952449.1.t2	tid.378638380398952449.1.2	#50051
tid.378638380398952449.2.t2	tid.378638380398952449.2.2	#50059
janes.forum.kvarkadabra.19.1416.14148.2.t3	janes.forum.kvarkadabra.19.1416.14148.2.3	#50160
tid.438301672574812160.3.t7	tid.438301672574812160.3.7	#50224
tid.288943921256595456.2.t5	tid.288943921256595456.2.5	#50259
tid.288943921256595456.3.t2	tid.288943921256595456.3.2.r1	#50274
tid.268316384805679104.2.t4	tid.268316384805679104.2.3.r1	#50291
tid.268316384805679104.5.t2	tid.268316384805679104.5.2	#50309
tid.525701322239406081.1.t5	tid.525701322239406081.1.5	#50322
tid.525701322239406081.2.t3	tid.525701322239406081.2.3	#50331
tid.393650676456099840.1.t4	tid.393650676456099840.1.4	#50348
tid.543523359536193536.1.t3	tid.543523359536193536.1.3	#50456
tid.362671358808829953.1.t15	tid.362671358808829953.1.15	#50574
janes.news.rtvslo.301991.352.1.t8	janes.news.rtvslo.301991.352.1.8	#50671
janes.news.rtvslo.235688.128.4.t4	janes.news.rtvslo.235688.128.4.4	#50707
tid.402666548412047360.3.t5	tid.402666548412047360.3.5	#50736
tid.402666548412047360.3.t12	tid.402666548412047360.3.12	#50743
tid.421611311634460672.2.t2	tid.421611311634460672.2.2	#50951
janes.forum.medovernet.6735016.1.t7	janes.forum.medovernet.6735016.1.7	#51042
tid.339380504774197248.2.t5	tid.339380504774197248.2.5	#51170
tid.558943034503856128.1.t6	tid.558943034503856128.1.6	#51192
tid.474592079063293952.1.t5	tid.474592079063293952.1.5	#51228
janes.blog.rtvslo.2435.14.1.t9	janes.blog.rtvslo.2435.14.1.9	#51324
tid.386038605442859008.1.t2	tid.386038605442859008.1.2	#51371
tid.455773154074697728.2.t8	tid.455773154074697728.2.8.r1	#51447
janes.news.mladina.118717.29.1.t18	janes.news.mladina.118717.29.1.18	#51553
janes.news.mladina.118717.29.2.t2	janes.news.mladina.118717.29.2.2	#51557
janes.news.mladina.118717.29.3.t2	janes.news.mladina.118717.29.3.2	#51563
tid.406049956991352832.2.t2	tid.406049956991352832.2.2	#51694
tid.406049956991352832.3.t2	tid.406049956991352832.3.2	#51701
tid.357652267098316800.1.t3	tid.357652267098316800.1.3	#51840
tid.542413290425438208.2.t7	tid.542413290425438208.2.7	#51896
tid.539698092015362048.1.t4	tid.539698092015362048.1.4	#51904
tid.404548449237872640.1.t19	tid.404548449237872640.1.19	#52026
tid.417935724336644096.2.t2	tid.417935724336644096.2.2	#52073
tid.370912029109796865.1.t6	tid.370912029109796865.1.6	#52092
janes.forum.medovernet.9578430.2.t3	janes.forum.medovernet.9578430.2.3.r1	#52310
tid.436229116979716096.1.t3	tid.436229116979716096.1.3	#52408
tid.564325870828281856.2.t1	tid.564325870828281856.2.1.r1	#52472
tid.486997968982409216.1.t25	tid.486997968982409216.1.25	#52586
janes.blog.rtvslo.18556.17.1.t5	janes.blog.rtvslo.18556.17.1.5	#52997
janes.blog.rtvslo.5965.15.1.t18	janes.blog.rtvslo.5965.15.1.18	#53096
tid.390013805461532672.1.t2	tid.390013805461532672.1.2	#53146
tid.469507725756731393.1.t13	tid.469507725756731393.1.13	#53287
tid.311816804047675393.2.t2	tid.311816804047675393.2.2	#53337
tid.396330446855761920.1.t12	tid.396330446855761920.1.12	#53503
tid.387545018367762432.1.t11	tid.387545018367762432.1.11	#53531
tid.276077712530079745.3.t5	tid.276077712530079745.3.5	#53635
tid.417715060078022658.4.t2	tid.417715060078022658.4.2.r1	#53778
tid.396029800420503553.2.t9	tid.396029800420503553.2.9	#53864
tid.502573436116680705.2.t4	tid.502573436116680705.2.4	#53878
tid.502573436116680705.2.t6	tid.502573436116680705.2.6	#53880
tid.419767919887659008.1.t5	tid.419767919887659008.1.5	#53903
janes.blog.rtvslo.22919.43.1.t12	janes.blog.rtvslo.22919.43.1.12	#54025
tid.327155419971731456.2.t5	tid.327155419971731456.2.5	#54076
tid.511071903805878273.1.t5	tid.511071903805878273.1.5	#54267
tid.237982945787392000.2.t1	tid.237982945787392000.2.1	#54470
tid.237982945787392000.4.t1	tid.237982945787392000.4.1	#54474
tid.505458049080131584.1.t10	tid.505458049080131584.1.10	#54519
tid.506006531432017920.2.t5	tid.506006531432017920.2.5	#54598
tid.162513810714927106.2.t6	tid.162513810714927106.2.6	#54680
tid.432508230942466050.2.t2	tid.432508230942466050.2.2	#54709
tid.432508230942466050.3.t11	tid.432508230942466050.3.11	#54731
janes.news.rtvslo.345453.1.1.t4	janes.news.rtvslo.345453.1.1.4.r1	#54752
tid.382921800172441601.2.t11	tid.382921800172441601.2.11	#54788
tid.324133920830533632.1.t5	tid.324133920830533632.1.5	#55163
tid.324133920830533632.2.t21	tid.324133920830533632.2.21	#55188
tid.513015515967918080.3.t7	tid.513015515967918080.3.7	#55343
tid.198417636911091712.2.t2	tid.198417636911091712.2.2	#55355
tid.198417636911091712.3.t4	tid.198417636911091712.3.4	#55363
tid.198417636911091712.4.t2	tid.198417636911091712.4.2	#55369
tid.529911915817218048.1.t3	tid.529911915817218048.1.3	#55379
janes.forum.medovernet.7073434.1.t2	janes.forum.medovernet.7073434.1.2.r1	#55465
janes.forum.medovernet.7073434.2.t3	janes.forum.medovernet.7073434.2.3	#55471
janes.forum.medovernet.8596151.1.t2	janes.forum.medovernet.8596151.1.2	#55602
tid.451755338107465728.1.t1	tid.451755338107465728.1.1	#56001
tid.287915426883702786.2.t2	tid.287915426883702786.2.2	#56107
tid.548624881597026305.1.t31	tid.548624881597026305.1.31	#56203
tid.383820009350246400.1.t11	tid.383820009350246400.1.11	#56217
tid.383820009350246400.1.t16	tid.383820009350246400.1.16	#56222
janes.blog.rtvslo.18029.22.3.t7	janes.blog.rtvslo.18029.22.3.7	#56389
janes.blog.rtvslo.18029.22.3.t14	janes.blog.rtvslo.18029.22.3.14	#56396
tid.460473305682956288.2.t2	tid.460473305682956288.2.2	#56533
janes.forum.kvarkadabra.23.1073.22505.2.t3	janes.forum.kvarkadabra.23.1073.22505.2.3	#56551
tid.363196848699215872.1.t6	tid.363196848699215872.1.6	#56559
janes.blog.rtvslo.16884.13.3.t1	janes.blog.rtvslo.16884.13.3.1	#56604
tid.419960560701034496.1.t18	tid.419960560701034496.1.18	#56636
tid.481927552643395584.1.t4	tid.481927552643395584.1.4	#56647
tid.380773080769261568.2.t3	tid.380773080769261568.2.3	#56708
tid.16497047806.1.t5	tid.16497047806.1.5	#56794
janes.news.rtvslo.340550.305.1.t2	janes.news.rtvslo.340550.305.1.2	#56818
janes.news.rtvslo.340550.305.2.t3	janes.news.rtvslo.340550.305.2.3	#56829
tid.467631005596409856.3.t1	tid.467631005596409856.3.1	#56892
janes.forum.medovernet.5043897.2.t2	janes.forum.medovernet.5043897.2.2	#57192
tid.491265498836123648.2.t1	tid.491265498836123648.2.1	#57494
tid.540596308500054016.1.t18	tid.540596308500054016.1.18	#57610
tid.517018692824350720.1.t15	tid.517018692824350720.1.15	#57632
tid.566278919037657088.1.t16	tid.566278919037657088.1.16	#57803
tid.421037810603134976.1.t2	tid.421037810603134976.1.2	#57848
tid.421037810603134976.1.t10	tid.421037810603134976.1.10	#57856
tid.528948459559473152.2.t4	tid.528948459559473152.2.4	#57953
tid.387554241327267840.1.t6	tid.387554241327267840.1.6	#58009
tid.394228137552527360.2.t7	tid.394228137552527360.2.7	#58065
tid.215374928537591808.2.t3	tid.215374928537591808.2.3	#58181
tid.501275513521188864.2.t7	tid.501275513521188864.2.7	#58207
janes.forum.medovernet.4799169.3.t2	janes.forum.medovernet.4799169.3.2	#58234
tid.549478998712266752.2.t6	tid.549478998712266752.2.6	#58270
janes.blog.publishwall.7704.2.2.t1	janes.blog.publishwall.7704.2.2.1	#58395
janes.news.rtvslo.337465.621.1.t4	janes.news.rtvslo.337465.621.1.4	#58450
tid.387207920414642176.1.t17	tid.387207920414642176.1.17	#58589
janes.forum.medovernet.7530888.1.t9	janes.forum.medovernet.7530888.1.9	#58617
tid.373784083102306305.1.t10	tid.373784083102306305.1.10	#58755
tid.571756742083792896.3.t1	tid.571756742083792896.3.1	#58865
tid.350321539809427458.2.t9	tid.350321539809427458.2.9	#58952
tid.350321539809427458.3.t9	tid.350321539809427458.3.9	#58963
tid.447273079887364096.2.t4	tid.447273079887364096.2.4	#59018
tid.510061052877635584.2.t5	tid.510061052877635584.2.5	#59093
janes.news.rtvslo.346545.246.1.t5	janes.news.rtvslo.346545.246.1.5	#59283
janes.blog.rtvslo.17001.2.1.t6	janes.blog.rtvslo.17001.2.1.6	#59417
tid.545883939161010176.3.t7	tid.545883939161010176.3.7	#59569
tid.476627586341437440.2.t3	tid.476627586341437440.2.3	#59735
janes.forum.medovernet.9811593.1.t13	janes.forum.medovernet.9811593.1.13	#59872
tid.547532866461388801.1.t10	tid.547532866461388801.1.9	#59939
janes.blog.rtvslo.19084.8.1.t3	janes.blog.rtvslo.19084.8.1.3	#59963
tid.538012956882386945.1.t21	tid.538012956882386945.1.21	#60006
janes.forum.medovernet.9910730.4.t1	janes.forum.medovernet.9910730.4.1	#60231
janes.news.rtvslo.126970.115.1.t3	janes.news.rtvslo.126970.115.1.3.r1	#60252
janes.blog.rtvslo.2221.14.1.t2	janes.blog.rtvslo.2221.14.1.2	#60430
janes.blog.publishwall.10561.2.1.t3	janes.blog.publishwall.10561.2.1.3	#60819
tid.385527759419609088.3.t1	tid.385527759419609088.3.1	#61048
janes.forum.medovernet.6552765.1.t3	janes.forum.medovernet.6552765.1.3	#61092
tid.349278243750285313.2.t11	tid.349278243750285313.2.11	#61142
janes.news.rtvslo.346261.112.2.t2	janes.news.rtvslo.346261.112.2.2	#61288
janes.blog.rtvslo.19504.9.1.t10	janes.blog.rtvslo.19504.9.1.10	#61353
tid.563635724894085120.1.t2	tid.563635724894085120.1.2	#61415
janes.news.reporter.49368.6.2.t1	janes.news.reporter.49368.6.2.1	#61580
janes.news.reporter.49368.6.2.t18	janes.news.reporter.49368.6.2.18	#61597
tid.346519432388026368.1.t5	tid.346519432388026368.1.5	#61791
tid.536609237250891776.2.t7	tid.536609237250891776.2.7	#62011
janes.blog.publishwall.2920.8.1.t5	janes.blog.publishwall.2920.8.1.5	#62029
janes.forum.medovernet.1261409.3.t3	janes.forum.medovernet.1261409.3.3	#62187
tid.356733563548344321.1.t10	tid.356733563548344321.1.10	#62480
tid.384216405627133953.3.t1	tid.384216405627133953.3.1	#62541
tid.459286306376667137.1.t24	tid.459286306376667137.1.24	#62568
tid.366642148210262016.1.t14	tid.366642148210262016.1.14	#62616
janes.forum.medovernet.9501348.1.t3	janes.forum.medovernet.9501348.1.3.r1	#62751
janes.news.mladina.152717.4.3.t14	janes.news.mladina.152717.4.3.14	#62795
tid.355743679715094528.2.t1	tid.355743679715094528.2.1	#62864
janes.news.rtvslo.346398.99.1.t2	janes.news.rtvslo.346398.99.1.2	#62910
tid.467304631312605184.1.t3	tid.467304631312605184.1.3	#62959
tid.467304631312605184.6.t2	tid.467304631312605184.6.2	#62986
tid.491690979238621185.1.t4	tid.491690979238621185.1.4	#63073
tid.551147621629591552.2.t3	tid.551147621629591552.2.3	#63307
tid.379889517383016448.3.t2	tid.379889517383016448.3.2	#63338
janes.forum.medovernet.9901687.1.t4	janes.forum.medovernet.9901687.1.4	#63410
tid.331429774125834240.1.t7	tid.331429774125834240.1.7	#63575
janes.forum.medovernet.5957806.1.t11	janes.forum.medovernet.5957806.1.11	#63745
tid.489057016552620032.1.t6	tid.489057016552620032.1.6	#63825
tid.503887685971607552.2.t3	tid.503887685971607552.2.3	#63954
janes.news.rtvslo.128140.119.1.t2	janes.news.rtvslo.128140.119.1.2	#63964
janes.news.rtvslo.128140.119.2.t3	janes.news.rtvslo.128140.119.2.3	#63980
janes.news.rtvslo.272543.1144.1.t2	janes.news.rtvslo.272543.1144.1.2	#64063
tid.373198419126677504.1.t11	tid.373198419126677504.1.11	#64107
tid.437599010480586752.1.t11	tid.437599010480586752.1.11	#64296
tid.481464432665849856.1.t3	tid.481464432665849856.1.3	#64491
janes.blog.rtvslo.18880.4.1.t3	janes.blog.rtvslo.18880.4.1.3	#64504
janes.news.mladina.111019.7.1.t4	janes.news.mladina.111019.7.1.4	#64552
tid.477146810956652545.1.t6	tid.477146810956652545.1.6	#64630
tid.420004435050651648.1.t3	tid.420004435050651648.1.3	#64681
tid.536284265894658048.1.t21	tid.536284265894658048.1.21	#64729
janes.forum.medovernet.1589514.4.t1	janes.forum.medovernet.1589514.4.1	#64856
janes.news.mladina.162892.1.1.t7	janes.news.mladina.162892.1.1.7	#64896
janes.blog.publishwall.7476.3.1.t3	janes.blog.publishwall.7476.3.1.3	#65125
tid.482804625310240768.2.t5	tid.482804625310240768.2.5.r1	#65204
tid.482804625310240768.3.t4	tid.482804625310240768.3.4	#65213
tid.325149399724470272.3.t2	tid.325149399724470272.3.2	#65226
tid.325149399724470272.3.t6	tid.325149399724470272.3.6	#65230
tid.395655983294210048.2.t9	tid.395655983294210048.2.9	#65271
janes.blog.rtvslo.10727.19.4.t3	janes.blog.rtvslo.10727.19.4.3	#65403
tid.432773335018405888.1.t14	tid.432773335018405888.1.14	#65419
tid.351754405265162240.1.t18	tid.351754405265162240.1.17	#65452
tid.113552546173435904.1.t4	tid.113552546173435904.1.4	#65636
tid.447014299870167040.4.t7	tid.447014299870167040.4.7	#65788
tid.420170951607582722.2.t4	tid.420170951607582722.2.4	#65889
tid.420170951607582722.2.t18	tid.420170951607582722.2.18	#65903
tid.429349228641808387.1.t9	tid.429349228641808387.1.9	#65999
tid.429349228641808387.2.t7	tid.429349228641808387.2.7	#66009
tid.403928998306013184.2.t3	tid.403928998306013184.2.3	#66034
tid.420672577632088064.1.t4	tid.420672577632088064.1.4.r1	#66099
tid.420672577632088064.1.t28	tid.420672577632088064.1.28	#66123
tid.352497061448519680.1.t23	tid.352497061448519680.1.23	#66389
tid.444248046352994304.1.t30	tid.444248046352994304.1.30	#66631
tid.381916149882974208.3.t11	tid.381916149882974208.3.11	#66705
tid.355281027146592257.2.t9	tid.355281027146592257.2.9	#66784
tid.546778631855677441.1.t15	tid.546778631855677441.1.15	#66837
tid.344094885814603776.1.t17	tid.344094885814603776.1.17	#66917
tid.398563729438031874.1.t8	tid.398563729438031874.1.8.r1	#66937
tid.375689750898036736.1.t3	tid.375689750898036736.1.3	#67013
tid.551835217674403840.1.t11	tid.551835217674403840.1.11	#67119
tid.551835217674403840.2.t3	tid.551835217674403840.2.3	#67125
janes.forum.kvarkadabra.20.3753.39253.2.t10	janes.forum.kvarkadabra.20.3753.39253.2.10	#67423
tid.509775504015372288.2.t2	tid.509775504015372288.2.2	#67498
tid.542099513394343936.1.t6	tid.542099513394343936.1.6	#67529
janes.news.mladina.115971.10.1.t31	janes.news.mladina.115971.10.1.31	#67595
janes.news.mladina.115971.10.2.t6	janes.news.mladina.115971.10.2.6	#67614
janes.news.mladina.115971.10.2.t8	janes.news.mladina.115971.10.2.8	#67616
janes.forum.avtomobilizem.26.13547.531301.1.t9	janes.forum.avtomobilizem.26.13547.531301.1.9	#67628
